"race_feedback","budget_shown","year_shown","duration_shown","race_pick","budget_pick","year_pick","duration_pick","gender","base_race","choice-1","choice-2","choice-3","choice-4","choice-5","choice-6","choice-7","choice-8","race","age","gender_code","race_code","num_excluded_total"
1,1,0,1,1,0,1,1,"Woman",1,"42","The Imitation Game","On The Basis of Sex","A Beautiful Mind","The King's Speech","Oppenheimer","Coco Before Chanel","Harriet","White / Caucasian",43,0,1,138
1,0,1,1,0,0,0,1,"Woman",3,"Harriet","42","Tolkien","On The Basis of Sex","A Beautiful Day in the Neighborhood","Ali","Walk the Line","Selma","White / Caucasian",41,0,1,138
0,1,1,1,0,0,1,0,"Man",0,"The King's Speech","On The Basis of Sex","Jobs","The Founder","Oppenheimer","Moneyball","A Beautiful Day in the Neighborhood","Chappaquiddick","Asian / Pacific Islander",35,1,0,138
1,1,0,1,0,0,0,1,"Man",1,"The Imitation Game","A Beautiful Day in the Neighborhood","42","A Beautiful Mind","Jobs","On The Basis of Sex","The Aviator","Selma","White / Caucasian",66,1,1,138
1,0,1,1,1,1,0,1,"Woman",2,"Patton","Selma","42","On The Basis of Sex","Harriet","Jobs","A Beautiful Mind","Ali","White / Caucasian",49,0,1,138
1,0,1,1,0,0,1,0,"Man",2,"Ali","42","Rocketman","Walk the Line","Patton","Chappaquiddick","Selma","A Beautiful Day in the Neighborhood","Hispanic / Latinx",23,1,0,138
0,1,1,1,1,0,1,1,"Woman",2,"Oppenheimer","A Beautiful Day in the Neighborhood","On The Basis of Sex","Ali","42","Chappaquiddick","Selma","Harriet","White / Caucasian",28,0,1,138
0,1,1,1,1,0,1,1,"Woman",1,"Rocketman","A Beautiful Day in the Neighborhood","Hitchcock","Tolkien","On The Basis of Sex","Ali","The Doors","Harriet","Black or African American",37,0,0,138
0,1,1,1,0,1,1,1,"Man",2,"Walk the Line","42","On The Basis of Sex","Jobs","Moneyball","Ali","The Doors","Oppenheimer","White / Caucasian",47,1,1,138
1,1,0,1,0,1,1,1,"Woman",1,"Chaplin","Hitchcock","The Founder","The Aviator","Harriet","On The Basis of Sex","A Beautiful Day in the Neighborhood","Walk the Line","White / Caucasian",52,0,1,138
1,1,1,0,0,0,0,1,"Woman",0,"A Beautiful Day in the Neighborhood","The Imitation Game","On The Basis of Sex","Braveheart","A Beautiful Mind","Rocketman","Oppenheimer","Selma","White / Caucasian",63,0,1,138
1,1,1,0,0,0,0,1,"Man",1,"The Imitation Game","Oppenheimer","Braveheart","42","The Aviator","Rocketman","J. Edgar","Selma","White / Caucasian",49,1,1,138
0,1,1,1,0,0,0,0,"Woman",3,"Selma","Harriet","A Beautiful Day in the Neighborhood","Ali","42","Nixon","Rocketman","Coco Before Chanel","White / Caucasian",33,0,1,138
1,1,1,0,0,0,1,1,"Woman",1,"Jobs","Selma","Harriet","Tolkien","Chaplin","Nixon","A Beautiful Day in the Neighborhood","J. Edgar","White / Caucasian",47,0,1,138
0,1,1,1,1,1,0,1,"Man",1,"A Beautiful Day in the Neighborhood","Rocketman","42","Selma","Chaplin","Tolkien","On The Basis of Sex","Ali","White / Caucasian",35,1,1,138
0,1,1,1,0,1,1,0,"Woman",2,"Jobs","A Beautiful Day in the Neighborhood","42","Harriet","Selma","Coco Before Chanel","Rocketman","The Greatest Showman","Black or African American",34,0,0,138
1,0,1,1,1,0,0,1,"Man",0,"Tolkien","Jobs","Patton","The Imitation Game","The Doors","Selma","Capote","42","White / Caucasian",41,1,1,138
0,1,1,1,0,0,1,1,"Man",1,"A Beautiful Day in the Neighborhood","Tolkien","The Imitation Game","Selma","A Beautiful Mind","Oppenheimer","42","On The Basis of Sex","White / Caucasian",43,1,1,138
1,1,1,0,0,1,1,0,"Man",1,"On The Basis of Sex","Oppenheimer","The King's Speech","Rocketman","Ali","Moneyball","The Aviator","The Greatest Showman","White / Caucasian",25,1,1,138
1,1,0,1,1,0,1,1,"Woman",1,"The Greatest Showman","A Beautiful Day in the Neighborhood","The Imitation Game","Rocketman","Oppenheimer","Walk the Line","Ali","Harriet","White / Caucasian",31,0,1,138
1,1,0,1,0,0,0,0,"Woman",3,"Tolkien","A Beautiful Day in the Neighborhood","Harriet","On The Basis of Sex","Ali","42","Selma","Coco Before Chanel","White / Caucasian",60,0,1,138
1,1,0,1,0,0,0,0,"Woman",0,"Oppenheimer","Braveheart","The King's Speech","The Imitation Game","Hitchcock","Nixon","Rocketman","Coco Before Chanel","White / Caucasian",69,0,1,138
