"female_pick","tech_pick","founder_pick","gender_feedback","founder_comp","tech_comp","male_pool","choice-1","choice-2","choice-3","choice-4","choice-5","choice-6","choice-7","race","gender","age","gender_code","race_code","num_excluded_total"
0,0,1,0,0.423076923076923,0.461538461538462,1,0,1,0,1,1,1,"Daymond John (Founder of FUBU)","White / Caucasian","Man",54,1,1,126
0,0,1,1,0.461538461538462,0.423076923076923,0,0,0,0,0,1,1,"Daymond John (Founder of FUBU)","White / Caucasian","Man",28,1,1,126
0,1,0,1,0.461538461538462,0.5,1,0,0,0,0,1,0,"Sundar Pichai (CEO of Alphabet Inc.)","Black or African American","Man",26,1,0,126
0,0,1,1,0.423076923076923,0.5,1,0,0,0,1,0,1,"Sean Combs (Founder of Bad Boy Entertainment)","Black or African American","Man",25,1,0,126
1,0,0,0,0.461538461538462,0.461538461538462,1,0,0,0,0,0,0,"Carol Tome (CEO of UPS)","White / Caucasian","Man",68,1,1,126
1,0,0,0,0.5,0.461538461538462,1,0,0,1,1,1,1,"Rosalind Brewer (CEO of Walgreens)","White / Caucasian","Woman",36,0,1,126
0,0,1,1,0.384615384615385,0.423076923076923,0,0,1,1,0,1,1,"Daymond John (Founder of FUBU)","White / Caucasian","Woman",44,0,1,126
0,1,1,0,0.384615384615385,0.461538461538462,0,0,1,0,1,1,0,"Garrett Camp (Co-founder of Uber)","Asian / Pacific Islander","Man",45,1,0,126
0,0,1,0,0.538461538461538,0.461538461538462,1,0,0,1,0,1,1,"Daymond John (Founder of FUBU)","Hispanic / Latinx","Woman",33,0,0,126
0,1,1,1,0.384615384615385,0.461538461538462,1,0,1,0,0,1,1,"Jeff Bezos (Founder of Amazon)","White / Caucasian","Woman",33,0,1,126
1,0,0,1,0.423076923076923,0.384615384615385,0,0,1,0,0,1,1,"Mary Barra (CEO of General Motors)","White / Caucasian","Man",35,1,1,126
0,1,0,1,0.461538461538462,0.5,1,0,0,0,0,1,0,"Jeff Weiner (CEO of LinkedIn)","White / Caucasian","Man",34,1,1,126
1,1,0,1,0.461538461538462,0.5,1,1,0,1,0,0,0,"Anne Wojcicki (CEO of 23andMe)","White / Caucasian","Man",29,1,1,126
0,1,0,1,0.269230769230769,0.423076923076923,0,0,0,1,1,1,1,"Tim Cook (CEO of Apple)","Asian / Pacific Islander","Non-binary",38,0,0,126
0,0,0,1,0.346153846153846,0.423076923076923,0,1,1,0,1,0,0,"Marvin Ellison (CEO of Lowe’s)","Asian / Pacific Islander","Man",35,1,0,126
1,1,0,0,0.423076923076923,0.384615384615385,0,0,0,0,0,1,1,"Corie Barry (CEO of Best Buy)","Asian / Pacific Islander","Woman",31,0,0,126
1,1,1,1,0.384615384615385,0.423076923076923,0,1,1,1,1,0,1,"Melanie Perkins (Founder of Canva)","White / Caucasian","Woman",27,0,1,126
1,1,0,0,0.346153846153846,0.384615384615385,0,1,1,0,1,1,1,"Safra Katz (CEO of Oracle)","White / Caucasian","Man",51,1,1,126
0,0,0,0,0.538461538461538,0.538461538461538,1,0,1,0,0,1,0,"Warren Buffet (CEO of Berkshire Hathaway)","White / Caucasian","Woman",74,0,1,126
