"treatment","men_pool","cond","pool","female_pick","base_gender","tech_pick","choice-1","choice-2","choice-3","choice-4","choice-5","choice-6","choice-7","race","gender","age","fair1_num","fair2_num","fair3_num","fairness","I1_num","I2_num","I3_num","I4_num","internal_motivation","E1_num","E2_num","E3_num","external_motivation","num_excluded_total"
0,0,"control","women",0,3,0,"Warren Buffett (CEO of Berkshire Hathaway)","Sundar Pichai (CEO of Alphabet Inc.)","Tim Cook (CEO of Apple)","Oprah Winfrey (Founder of OWN)","Mary Barra (CEO of General Motors)","Melanie Perkins (Founder of Canva)","Phil Knight (Co-founder of Nike)","White / Caucasian","Woman",38,3,2,6,3.66666666666667,2,4,3,5,3.5,2,3,2,2.33333333333333,68
1,0,"treat","women",1,3,0,"Sundar Pichai (CEO of Alphabet Inc.)","Tim Cook (CEO of Apple)","Lisa Su (CEO of AMD)","Mary Barra (CEO of General Motors)","Phil Knight (Co-founder of Nike)","Jane Fraser (CEO of Citigroup)","Melanie Perkins (Founder of Canva)","White / Caucasian","Man",32,7,6,6,6.33333333333333,6,6,7,6,6.25,6,6,4,5.33333333333333,68
1,1,"treat","men",1,1,0,"Daymond John (Founder of FUBU)","Jensen Huang (CEO of NVIDIA)","Lisa Su (CEO of AMD)","Sundar Pichai (CEO of Alphabet Inc.)","Howard Schultz (Founder of Starbucks)","Bill Gates (Co-founder of Microsoft)","Leah Busque (Founder of TaskRabbit)","White / Caucasian","Man",40,6,6,6,6,6,6,6,6,6,2,2,2,2,68
1,0,"treat","women",0,3,0,"Tim Cook (CEO of Apple)","Lisa Su (CEO of AMD)","Larry Page (Co-founder of Google)","Linda Yaccarino (CEO of X)","Sundar Pichai (CEO of Alphabet Inc.)","Carol Tomé (CEO of UPS)","Warren Buffett (CEO of Berkshire Hathaway)","White / Caucasian","Man",32,3,3,3,3,1,1,1,1,1,1,1,1,1,68
1,1,"treat","men",0,0,0,"Richard Branson (Founder of Virgin Group)","Jensen Huang (CEO of NVIDIA)","Jeff Bezos (Founder of Amazon)","Warren Buffett (CEO of Berkshire Hathaway)","Michael Bloomberg (Co-founder of Bloomberg LP)","Mark Zuckerberg (Co-founder of Facebook)","Jamie Dimon (CEO of JPMorgan Chase)","White / Caucasian","Man",26,1,1,1,1,1,1,1,1,1,1,1,1,1,68
0,1,"control","men",0,0,0,"Andy Jassy (CEO of Amazon)","Howard Schultz (Founder of Starbucks)","Michael Bloomberg (Co-founder of Bloomberg LP)","Sundar Pichai (CEO of Alphabet Inc.)","Jamie Dimon (CEO of JPMorgan Chase)","Phil Knight (Co-founder of Nike)","Jeff Bezos (Founder of Amazon)","White / Caucasian","Man",59,1,1,1,1,1,1,1,1,1,1,1,1,1,68
0,0,"control","women",1,3,0,"Tim Cook (CEO of Apple)","Carol Tomé (CEO of UPS)","Phil Knight (Co-founder of Nike)","Warren Buffett (CEO of Berkshire Hathaway)","Michele Buck (CEO of Hershey)","Mary Barra (CEO of General Motors)","Jane Fraser (CEO of Citigroup)","White / Caucasian","Man",72,1,1,1,1,1,1,1,1,1,1,1,1,1,68
1,0,"treat","women",1,4,0,"Sundar Pichai (CEO of Alphabet Inc.)","Jane Fraser (CEO of Citigroup)","Lisa Su (CEO of AMD)","Warren Buffett (CEO of Berkshire Hathaway)","Julia Hartz (Co-founder of EventBrite)","Linda Yaccarino (CEO of X)","Gail Boudreaux (CEO of Elevance Health)","White / Caucasian","Man",48,3,3,3,3,3,3,3,3,3,3,3,3,3,68
0,0,"control","women",1,3,0,"Warren Buffett (CEO of Berkshire Hathaway)","Kendra Scott (Founder of Kendra Scott)","Tim Cook (CEO of Apple)","Mary Barra (CEO of General Motors)","Leah Busque (Founder of TaskRabbit)","Phil Knight (Co-founder of Nike)","Whitney Wolfe Herd (Founder of Bumble)","White / Caucasian","Woman",29,5,3,7,5,6,5,5,6,5.5,3,6,5,4.66666666666667,68
1,1,"treat","men",0,3,0,"Jane Fraser (CEO of Citigroup)","Howard Schultz (Founder of Starbucks)","Leah Busque (Founder of TaskRabbit)","Warren Buffett (CEO of Berkshire Hathaway)","Tim Cook (CEO of Apple)","Lisa Su (CEO of AMD)","Larry Page (Co-founder of Google)","White / Caucasian","Man",31,2,2,7,3.66666666666667,6,5,6,2,4.75,1,2,1,1.33333333333333,68
