"workerId","attribute_clean","importance_clean","gender","num_excluded_total"
"AJE8ER94166G2","ever wrote poetry.",5,"Man",78
"A2F7SADPCRYRSO","had their work translated into at least 20 languages.",2,"Woman",78
"A1INIU5LAP6Z4J","wrote at least one book that sold over 1 million copies.",3,"Man",78
"A33H75N0MVRU8Y","ever had their work adapted into a major motion picture.",5,"Man",78
"A10EQASJQ0DBUH","were racial minorities.",4,"Woman",78
"A3MJSYSWX0Q4WQ","ever had their work included in a major literary anthology (e.g. Norton, Oxford).",7,"Woman",78
"A3F2UUP5LDLESJ","wrote primarily about war and civil unrest.",4,"Man",78
"ARVAYIUV7ZD","published their first book before the age of 25.",5,"Man",78
"A147O9J0TAPA77","won a Pulitzer Prize, Nobel Prize or National Book Award.",5,"Man",78
"A2CXCRCQN4AM46","wrote at least one book that remained in continuous print for over 50 years.",5,"Woman",78
"A2ER0EVZ7E1Z8G","ever wrote fiction.",2,"Man",78
"A3J79GSLBDFSR0","wrote at least one book that appears on the American Library Association's banned books list.",5,"Woman",78
"A3TXCGM53BXGXB","wrote more than 10 books.",1,"Man",78
"A1Z8VN97YAD6XB","ever wrote poetry.",3,"Woman",78
"A2HR0V0K34J4PE","ever wrote poetry.",2,"Man",78
"A460DN2EEDJR9","were born in the United States.",1,"Man",78
"A1TA30P0NOOGE2","have been writing professionally for over 30 years.",4,"Man",78
"A1E8WU0ER9WT88","published their first book in last 5 years.",7,"Man",78
"A3FLH9JVIQJWM2","wrote one of the 500 most commonly taught books in US colleges.",5,"Woman",78
"A8GD33ZJ1SAA5","were women.",5,"Woman",78
"ABGJTPO1P1DLN","wrote  books, poems or essays spanning multiple genres.",5,"Man",78
"A39MO8EQO830XU","are still alive.",5,"Woman",78
"AKC6351TW2FA4","died in the last century.",3,"Woman",78
"A3722NOMVUK89T","wrote an autobiography.",4,"Man",78
"AJKA9BKC011F2","had their work translated into at least 20 languages.",4,"Woman",78
"ATNHPTIYYP9F6","were born in the 1800s.",2,"Man",78
"A3WPJ5A70OWC6","won a Pulitzer Prize, Nobel Prize or National Book Award.",5,"Woman",78
"A1IXVPKQT4DXTG","wrote  books, poems or essays spanning multiple genres.",4,"Woman",78
"A4GXHVTRGW5P8","wrote at least one book that appears on the American Library Association's banned books list.",6,"Woman",78
"A1AB1BMULT9JLE","wrote at least one book that sold over 1 million copies.",4,"Man",78
"A26ZENZ5G8AEGM","ever wrote fiction.",1,"Woman",78
"A4XZS2EY43OLT","published their first book in last 5 years.",5,"Man",78
"A2SQNS3J389FRJ","were born in the United States.",3,"Man",78
"A17TLDNMY6UBP","wrote primarily about war and civil unrest.",2,"Woman",78
"A2QPMJ4GADLUW2","were racial minorities.",4,"Man",78
"A2XORWNVOAM04X","ever had their work included in a major literary anthology (e.g. Norton, Oxford).",5,"Man",78
"A1W845RVTAYPYN","wrote more than 10 books.",3,"Man",78
"A13J3RCDUBXQ7E","were born in the 1800s.",1,"Woman",78
"A246PYUSG06CU","have been writing professionally for over 30 years.",4,"Woman",78
"A3EKWPKR0OX8P8","wrote an autobiography.",1,"Man",78
"A1RTSWQLSN8FKX","wrote one of the 500 most commonly taught books in US colleges.",3,"Man",78
"A3CFNUD7VR2E1E","had their work translated into at least 20 languages.",3,"Woman",78
"A1C6GQWQ0EFHC0","died in the last century.",2,"Woman",78
"A3N15463MQO5VF","were women.",5,"Woman",78
"A2WCCV1W8UE8ED","ever had their work adapted into a major motion picture.",5,"Man",78
"AY19ULG6HXDEH","are still alive.",7,"Man",78
"A300EIG5Y9T94G","wrote at least one book that remained in continuous print for over 50 years.",4,"Woman",78
"A2CSENNI43N272","ever had their work adapted into a major motion picture.",2,"Man",78
"A3F76JTVRBUL8U","ever had their work included in a major literary anthology (e.g. Norton, Oxford).",5,"Man",78
"AWO4DDM0X826U","published their first book before the age of 25.",2,"Man",78
"AYG8B3ZK9K6E4","wrote at least one book that remained in continuous print for over 50 years.",2,"Man",78
"A3QQQYS05GPP7W","published their first book before the age of 25.",2,"Man",78
"A1519KIAPI6IX9","ever wrote fiction.",5,"Man",78
"A45J7XAPDUV5M","published their first book in last 5 years.",5,"Man",78
"A3K1JTEB70E4FV","wrote at least one book that appears on the American Library Association's banned books list.",1,"Woman",78
"A3MGFSJYLAJ6CU","wrote an autobiography.",4,"Man",78
"A3LEZ6MCK2JCQJ","were born in the 1800s.",1,"Man",78
"ADCR5D7IASO96","ever wrote poetry.",2,"Woman",78
"A1VKVBVPK57OD5","died in the last century.",5,"Man",78
"A19Y8QDS9ABVD4","were racial minorities.",1,"Man",78
"A1JRP31XJIU7NV","were born in the United States.",4,"Man",78
"A16TB6KOY5OX79","wrote more than 10 books.",5,"Woman",78
"A1ZSL5ZLN9DLAK","won a Pulitzer Prize, Nobel Prize or National Book Award.",3,"Man",78
"AXBBXKSC9VFSW","wrote one of the 500 most commonly taught books in US colleges.",1,"Man",78
"AMSIMHJ3Y72FC","were women.",3,"Man",78
"A1IID9HW53QMHF","wrote at least one book that sold over 1 million copies.",6,"Man",78
"AFXEVBHK1C6PD","wrote primarily about war and civil unrest.",4,"Woman",78
"A380V7E6PXX96Y","have been writing professionally for over 30 years.",1,"Man",78
"A1CNHTABS12V7","are still alive.",1,"Man",78
"A3FF0JJBUSBGAY","had their work translated into at least 20 languages.",2,"Man",78
"A1C5J40P3I65EI","wrote  books, poems or essays spanning multiple genres.",2,"Woman",78
"A2I8VQ82MC7MIZ","wrote at least one book that sold over 1 million copies.",1,"Man",78
"A3RIRPQUI0EC6D","died in the last century.",5,"Woman",78
"A2O7Q5Z38URZ2X","had their work translated into at least 20 languages.",3,"Man",78
"A3GBALRPEY85U2","are still alive.",1,"Woman",78
"A118KQORTQPWYY","ever had their work included in a major literary anthology (e.g. Norton, Oxford).",6,"Woman",78
"A1IZ3VPPBI86P4","published their first book in last 5 years.",4,"Woman",78
"AC0T1FWENN2SX","won a Pulitzer Prize, Nobel Prize or National Book Award.",6,"Man",78
"A17C8CUROFU495","wrote primarily about war and civil unrest.",3,"Woman",78
"A1DINOR5IK1YC4","ever wrote poetry.",1,"Woman",78
"A21Q1TXU3XE8HR","wrote more than 10 books.",2,"Man",78
"A120BPNC6SP4GO","were women.",6,"Man",78
"A1GD3MQELM1R9M","were born in the 1800s.",1,"Woman",78
"A1W6NTSBP1FIL0","wrote an autobiography.",2,"Man",78
"A2I48DCI8GEH2M","wrote  books, poems or essays spanning multiple genres.",3,"Man",78
"A3H409OOR6NJF","published their first book before the age of 25.",1,"Man",78
"A3U0JKK8IXEP7D","wrote at least one book that remained in continuous print for over 50 years.",4,"Woman",78
"A22PZ9U9DGY0S6","were born in the United States.",6,"Woman",78
"A1JM5XNB4NCZR6","have been writing professionally for over 30 years.",3,"Man",78
"A2AOQT7U152D8Z","were racial minorities.",2,"Man",78
"A3UTB3ECQOXL5D","ever wrote fiction.",1,"Man",78
"A3D7N05PQ2LLNJ","ever had their work adapted into a major motion picture.",4,"Man",78
