"cond","base_condition","gender_feedback","poets_shown","oldies_shown","books_shown","women_shown","female_pick","poets_pick","oldies_pick","books_pick","base_gender","base_poets","base_oldies","base_books","choice-1","choice-2","choice-3","choice-4","choice-5","choice-6","choice-7","race","gender","age","gender_code","race_code","num_excluded_total"
"treat","low",1,1,1,0,1,0,0,1,0,2,1,2,4,"Charles Dickens","F. Scott Fitzgerald","J.K. Rowling","Michael Crichton","Ray Bradbury","Jane Austen","Ernest Hemingway","White / Caucasian","Man",43,1,1,25
"treat","high",1,1,1,0,1,1,0,0,1,2,3,4,3,"Maya Angelou","Charles Dickens","Sylvia Plath","Rudyard Kipling","Jack London","Ernest Hemingway","Isabel Allende","Black or African American","Man",39,1,0,25
"control","high",0,1,1,1,0,0,0,1,0,4,2,2,3,"Maya Angelou","Zadie Smith","Isabel Allende","Jane Austen","Charles Dickens","Rudyard Kipling","James Joyce","Black or African American","Woman",56,0,0,25
"control","high",0,1,1,1,0,1,1,1,1,3,3,4,2,"Maya Angelou","J.R.R. Tolkien","Virginia Woolf","Jack London","Ernest Hemingway","Sylvia Plath","Lucy Maud","Black or African American","Man",40,1,0,25
"treat","low",1,1,1,0,1,0,0,0,1,2,3,3,3,"Charles Dickens","Ray Bradbury","George Orwell","Ernest Hemingway","J.K. Rowling","Virginia Woolf","Michael Crichton","White / Caucasian","Man",51,1,1,25
"control","low",0,1,1,1,0,1,1,1,0,2,2,0,1,"Joyce Carol Oates","George Orwell","Kurt Vonnegut","J.D. Salinger","Gabriel Garcia Marquez","Zadie Smith","Virginia Woolf","White / Caucasian","Woman",39,0,1,25
"control","low",0,1,1,1,0,0,0,0,1,1,2,3,2,"J.K. Rowling","George Orwell","Charles Dickens","J.D. Salinger","Oscar Wilde","F. Scott Fitzgerald","Michael Crichton","White / Caucasian","Man",28,1,1,25
"treat","low",1,0,1,1,1,0,1,1,1,3,1,4,1,"Jane Austen","F. Scott Fitzgerald","Ernest Hemingway","Virginia Woolf","Oscar Wilde","J.K. Rowling","Charles Dickens","Asian / Pacific Islander","Woman",24,0,0,25
"treat","high",1,1,1,0,1,0,0,1,1,3,2,3,2,"J.K. Rowling","Jane Austen","George Orwell","Jack London","James Joyce","Virginia Woolf","J.R.R. Tolkien","White / Caucasian","Man",38,1,1,25
"control","low",0,1,1,1,0,0,0,0,0,2,2,3,3,"Charles Dickens","J.K. Rowling","Gabriel Garcia Marquez","Virginia Woolf","Ernest Hemingway","Michael Crichton","Neil Gaiman","White / Caucasian","Woman",35,0,1,25
"control","high",0,1,1,1,0,1,1,0,0,1,2,4,5,"J.K. Rowling","George Orwell","J.R.R. Tolkien","Herman Melville","Jack London","Rudyard Kipling","Maya Angelou","White / Caucasian","Man",24,1,1,25
"control","low",0,1,1,1,0,0,1,0,0,2,0,2,2,"Ernest Hemingway","Neil Gaiman","Jane Austen","Michael Crichton","F. Scott Fitzgerald","J.K. Rowling","George Orwell","Asian / Pacific Islander","Man",47,1,0,25
"control","high",0,1,1,1,0,0,0,1,1,3,3,2,2,"Ernest Hemingway","George Orwell","Margaret Atwood","Maya Angelou","J.R.R. Tolkien","Jane Austen","Jack London","White / Caucasian","Man",31,1,1,25
"treat","high",1,1,1,0,1,0,1,1,1,3,2,4,3,"Jane Austen","Isabel Allende","Ernest Hemingway","J.R.R. Tolkien","Charles Dickens","Virginia Woolf","Herman Melville","White / Caucasian","Woman",55,0,1,25
"treat","low",1,1,1,0,1,1,0,0,0,2,2,2,2,"Virginia Woolf","Kurt Vonnegut","Joyce Carol Oates","Gabriel Garcia Marquez","Oscar Wilde","Ray Bradbury","Jane Austen","White / Caucasian","Man",42,1,1,25
"control","low",0,1,1,1,0,1,1,1,0,2,3,2,4,"Ernest Hemingway","Michael Crichton","Ray Bradbury","Charles Dickens","Sylvia Plath","Joyce Carol Oates","Virginia Woolf","White / Caucasian","Man",35,1,1,25
"treat","high",1,1,1,0,1,1,1,0,1,3,4,2,3,"George Orwell","Zadie Smith","Herman Melville","Maya Angelou","Isabel Allende","Jorge Luis Borges","Margaret Atwood","White / Caucasian","Man",71,1,1,25
"control","low",0,1,1,1,0,0,0,1,0,1,2,4,2,"Jane Austen","F. Scott Fitzgerald","Charles Dickens","Nathaniel Hawthorne","Ernest Hemingway","Ray Bradbury","Oscar Wilde","White / Caucasian","Woman",64,0,1,25
