"gender_feedback","forms_shown","sold30m_shown","classic_shown","female_pick","forms_pick","sold30m_pick","classic_pick","base_gender","choice-1","choice-2","choice-3","choice-4","choice-5","choice-6","choice-7","race","gender","age","gender_code","race_code","poli","poli_numeric","poli_centered","poli_party","party_democrat","party_independent","party_republican","internal1Z","internal2Z","internal3Z","internal4Z","internal","external1Z","external2Z","external3Z","external","num_excluded_total"
0,1,1,1,0,0,1,1,2,"John Steinbeck","Jane Austen","Kurt Vonnegut","J.R.R. Tolkien","Sylvia Plath","Ernest Hemingway","Charles Dickens","White / Caucasian","Man",40,1,1,"4Moderate; middle of the road",4,0,"Independent",0,1,0,-0.145741803524643,0.37128810288406,0.30045146752404,0.327143307848015,0.213285268682868,0.652032424323613,0.673356005303233,0.183045475559744,0.502811301728864,126
1,1,0,1,0,0,1,1,2,"J.D. Salinger","J.R.R. Tolkien","Isabel Allende","Lucy Maud","Gabriel Garcia Marquez","Charles Dickens","F. Scott Fitzgerald","Asian / Pacific Islander","Man",32,1,0,"2Liberal",2,-2,"Democrat",1,0,0,1.8784499120954,-1.17359998123824,-1.20180587009616,1.8751400326809,0.344546023360473,-1.05337060354983,-1.03422473511071,-0.986574176579196,-1.02472317174658,126
1,1,0,1,0,0,0,1,1,"Jack London","George Orwell","Herman Melville","Michael Crichton","Jane Austen","J.R.R. Tolkien","John Steinbeck","White / Caucasian","Woman",43,0,1,"3Slightly liberal",3,-1,"Republican",0,0,1,0.360306125380367,-0.143674591823374,0.30045146752404,0.327143307848015,0.211056577232262,0.0835647483657986,0.104162425165251,-0.401764350509726,-0.0713457256595589,126
1,1,1,0,1,1,1,0,1,"Herman Melville","Ernest Hemingway","Jane Austen","Nathaniel Hawthorne","Gabriel Garcia Marquez","Ray Bradbury","Isabel Allende","White / Caucasian","Man",68,1,1,"3Slightly liberal",3,-1,"Democrat",1,0,0,0.866354054285377,0.886250797591493,0.801203913397441,0.843142216125642,0.849237745349988,1.22050010028143,-0.465031154972732,0.183045475559744,0.31283814028948,126
1,1,0,1,0,0,1,1,0,"Charles Dickens","J.R.R. Tolkien","J.D. Salinger","Jorge Luis Borges","Jack London","Gabriel Garcia Marquez","F. Scott Fitzgerald","White / Caucasian","Man",31,1,1,"3Slightly liberal",3,-1,"Independent",0,1,0,-0.651789732429653,-0.658637286530808,-1.20180587009616,-1.22085341698487,-0.933271576510372,-0.484902927592016,-0.465031154972732,-0.986574176579196,-0.645502753047981,126
0,1,1,1,0,1,1,1,0,"Charles Dickens","George Orwell","Ray Bradbury","Kurt Vonnegut","Michael Crichton","Cormac McCarthy","J.R.R. Tolkien","White / Caucasian","Man",46,1,1,"2Liberal",2,-2,"Democrat",1,0,0,-0.651789732429653,-0.658637286530808,-0.701053424222761,-0.188855600429611,-0.550084010903208,-0.484902927592016,-0.465031154972732,-0.401764350509726,-0.450566144358158,126
0,1,1,1,1,0,0,1,0,"F. Scott Fitzgerald","Charles Dickens","Ray Bradbury","J.R.R. Tolkien","George Orwell","Michael Crichton","Jane Austen","White / Caucasian","Woman",42,0,1,"4Moderate; middle of the road",4,0,"Republican",0,0,1,-1.15783766133466,-1.17359998123824,-1.20180587009616,-0.188855600429611,-0.930524778274669,-1.05337060354983,-1.03422473511071,-0.986574176579196,-1.02472317174658,126
1,0,1,1,1,0,0,1,1,"Charles Dickens","Ray Bradbury","Lucy Maud","F. Scott Fitzgerald","J.D. Salinger","George Orwell","Sylvia Plath","White / Caucasian","Woman",34,0,1,"4Moderate; middle of the road",4,0,"Independent",0,1,0,1.8784499120954,1.40121349229893,1.30195635927084,1.8751400326809,1.61418994908652,2.35743545219706,2.38093674571718,2.52228477983763,2.42021899258395,126
0,1,1,1,0,1,0,1,3,"Michael Crichton","J.R.R. Tolkien","Isabel Allende","Jane Austen","Zadie Smith","F. Scott Fitzgerald","Ray Bradbury","White / Caucasian","Woman",30,0,1,"2Liberal",2,-2,"Democrat",1,0,0,-0.651789732429653,-0.658637286530808,-0.701053424222761,-0.188855600429611,-0.550084010903208,-0.484902927592016,-0.465031154972732,-0.401764350509726,-0.450566144358158,126
0,1,1,1,0,0,1,1,2,"Michael Crichton","Jane Austen","F. Scott Fitzgerald","J.R.R. Tolkien","Jack London","Lucy Maud","Charles Dickens","White / Caucasian","Man",43,1,1,"3Slightly liberal",3,-1,"Independent",0,1,0,-0.651789732429653,-0.658637286530808,-0.701053424222761,-0.704854508707238,-0.679083737972615,-0.484902927592016,-0.465031154972732,-0.401764350509726,-0.450566144358158,126
0,1,1,1,0,0,0,1,0,"Ray Bradbury","J.R.R. Tolkien","Ernest Hemingway","Kurt Vonnegut","Charles Dickens","George Orwell","John Steinbeck","White / Caucasian","Man",29,1,1,"3Slightly liberal",3,-1,"Democrat",1,0,0,-1.15783766133466,-1.17359998123824,-1.20180587009616,-1.22085341698487,-1.18852423241348,-1.05337060354983,-1.03422473511071,-0.986574176579196,-1.02472317174658,126
1,1,0,1,1,1,1,1,1,"Jane Austen","Herman Melville","Jack London","J.D. Salinger","Gabriel Garcia Marquez","Charles Dickens","Lucy Maud","White / Caucasian","Woman",60,0,1,"1Extremely liberal",1,-3,"Democrat",1,0,0,0.866354054285377,1.40121349229893,1.30195635927084,0.843142216125642,1.1031665304952,0.652032424323613,0.673356005303233,0.767855301629215,0.697747910418687,126
0,1,1,1,1,0,0,1,2,"F. Scott Fitzgerald","Isabel Allende","Kurt Vonnegut","Zadie Smith","John Steinbeck","Cormac McCarthy","Jane Austen","White / Caucasian","Woman",26,0,1,"5Slightly conservative",5,1,"Republican",0,0,1,1.37240198319039,1.40121349229893,1.30195635927084,0.843142216125642,1.22967851272145,1.22050010028143,0.104162425165251,1.35266512769868,0.892442551048454,126
0,1,1,1,0,1,0,1,6,"Joyce Carol Oates","Sylvia Plath","Jane Austen","Lucy Maud","Zadie Smith","Isabel Allende","Kurt Vonnegut","White / Caucasian","Woman",49,0,1,"1Extremely liberal",1,-3,"Democrat",1,0,0,0.360306125380367,1.91617618700636,1.80270880514424,1.8751400326809,1.48858278755297,-1.05337060354983,-1.03422473511071,-0.986574176579196,-1.02472317174658,126
1,1,0,1,1,1,1,1,2,"John Steinbeck","Jane Austen","Joyce Carol Oates","Jack London","George Orwell","J.R.R. Tolkien","Lucy Maud","White / Caucasian","Woman",35,0,1,"4Moderate; middle of the road",4,0,"Independent",0,1,0,-0.651789732429653,1.40121349229893,1.30195635927084,1.35914112440327,0.852630310885846,-0.484902927592016,-0.465031154972732,-0.401764350509726,-0.450566144358158,126
0,1,1,1,0,0,1,1,2,"J.D. Salinger","Lucy Maud","George Orwell","J.R.R. Tolkien","Sylvia Plath","John Steinbeck","Charles Dickens","White / Caucasian","Woman",25,0,1,"4Moderate; middle of the road",4,0,"Republican",0,0,1,1.37240198319039,0.37128810288406,0.801203913397441,0.327143307848015,0.718009326829976,0.652032424323613,0.673356005303233,1.35266512769868,0.89268451910851,126
1,1,1,0,1,0,0,0,3,"Lucy Maud","Michael Crichton","Joyce Carol Oates","Jane Austen","J.R.R. Tolkien","Ray Bradbury","Zadie Smith","White / Caucasian","Woman",61,0,1,"4Moderate; middle of the road",4,0,"Republican",0,0,1,0.360306125380367,-0.658637286530808,-0.701053424222761,-0.704854508707238,-0.42605977352011,0.652032424323613,-1.03422473511071,0.767855301629215,0.128554330280704,126
1,0,1,1,0,0,0,1,6,"Sylvia Plath","Jane Austen","Joyce Carol Oates","Isabel Allende","Zadie Smith","Lucy Maud","Michael Crichton","Black or African American","Woman",38,0,0,"4Moderate; middle of the road",4,0,"Independent",0,1,0,0.360306125380367,0.37128810288406,0.30045146752404,0.327143307848015,0.339797250909121,0.652032424323613,-1.03422473511071,0.767855301629215,0.128554330280704,126
